regiao,faixa_renda,diver
Sudeste,Acima de 20k,0.0
Sul,Até 20k,0.11785899036824797
Sudeste,Acima de 20k,0.5677718521803534
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.2679839102041376
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.24961385004285683
Centro-Oeste,Até 20k,0.04390923340541501
Sul,Acima de 20k,0.0
Sul,Até 20k,0.3391588825375229
Sudeste,Acima de 20k,0.09765045039016822
Sudeste,Acima de 20k,0.40155895687725884
Sul,Acima de 20k,0.6855703899894802
Nordeste,Acima de 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.053530253923310886
Centro-Oeste,Acima de 20k,0.19220230274132002
Sudeste,Acima de 20k,0.010034628567555699
Sudeste,Acima de 20k,0.1027988952003571
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.7577908759677099
Sudeste,Acima de 20k,0.022140899547941826
Centro-Oeste,Acima de 20k,0.20184428638759314
Sul,Acima de 20k,0.0
Sul,Até 20k,0.9531575873395566
Sudeste,Até 20k,0.0
Centro-Oeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.04187146530098052
Sudeste,Acima de 20k,0.7782426640881849
Sudeste,Acima de 20k,0.060408223608743476
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.18031054928662232
Sudeste,Acima de 20k,0.1391422612174434
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.9293382910233486
Sudeste,Até 20k,0.12973790597409304
Centro-Oeste,Até 20k,0.9449281555590309
Sudeste,Acima de 20k,0.9125836115650817
Nordeste,Até 20k,0.4088782380374204
Sudeste,Até 20k,0.07273314841787676
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.18984300517668856
Nordeste,Acima de 20k,0.0
Sudeste,Até 20k,0.17530154395559105
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Centro-Oeste,Até 20k,0.10373777523906225
Sudeste,Até 20k,0.14393452357007516
Nordeste,Acima de 20k,0.0
Sul,Acima de 20k,0.0
Sul,Até 20k,0.5332987229626659
Sudeste,Até 20k,0.27815469029028783
Sul,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.09723278861513313
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Centro-Oeste,Até 20k,0.008599732228515755
Sul,Acima de 20k,0.0
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.1375417038253951
Sudeste,Acima de 20k,0.15015348666614253
Sudeste,Acima de 20k,0.2221326239951285
Centro-Oeste,Até 20k,0.0
Sudeste,Acima de 20k,0.04969216330536915
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.9871084005206264
Sudeste,Acima de 20k,0.7781911600414978
Nordeste,Acima de 20k,0.0
Sul,Acima de 20k,0.5061267407214712
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.19949521555698788
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.7320436591557888
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.5740491601559778
Sudeste,Acima de 20k,0.3724210365237241
Sudeste,Acima de 20k,0.060081660222383426
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.22639556719032072
Sudeste,Acima de 20k,0.01835212535699971
Nordeste,Acima de 20k,0.050305588263151735
Centro-Oeste,Acima de 20k,0.5815242405251119
Sudeste,Até 20k,0.5154169324987286
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Sul,Até 20k,0.6404333511845114
Sul,Acima de 20k,0.0
Sudeste,Até 20k,0.2719493562260979
Nordeste,Até 20k,0.3254256235798761
Sudeste,Até 20k,0.0
Sul,Até 20k,0.10021600992958872
Sudeste,Acima de 20k,0.0
Sul,Acima de 20k,0.10135985429447852
Sudeste,Acima de 20k,0.24610432542036373
Sul,Acima de 20k,0.023321338169378147
Norte,Até 20k,0.655957673961417
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,1.0
Sul,Acima de 20k,0.04631949553768817
Centro-Oeste,Acima de 20k,0.2759327519753003
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.14141847096171029
Sudeste,Acima de 20k,0.03806982179891313
Centro-Oeste,Acima de 20k,0.2827213142454632
Centro-Oeste,Acima de 20k,0.1540383091304833
Sul,Acima de 20k,0.5752377503033689
Nordeste,Acima de 20k,0.6732937812943371
Nordeste,Até 20k,0.0
Nordeste,Acima de 20k,0.3714329789223324
Sudeste,Acima de 20k,0.16836017476706472
Nordeste,Acima de 20k,0.9955039281381348
Centro-Oeste,Acima de 20k,0.03489577202248816
Sudeste,Acima de 20k,0.3374219706946271
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.22168488196120303
Sudeste,Acima de 20k,0.8366908960070375
Sudeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.9871002244281133
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.026859611926322448
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.13386205590856257
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.033221305841145465
Sul,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.025763883891826034
Sudeste,Até 20k,0.1698876002851164
Sudeste,Acima de 20k,0.11637607579321456
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.07136936882502457
Sul,Até 20k,0.9724519079349976
Sudeste,Acima de 20k,0.231613618915523
Nordeste,Acima de 20k,0.703986365646783
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.003486697216036118
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.2504421841253492
Sul,Acima de 20k,0.9871905596549945
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.038650063200244916
Sul,Acima de 20k,0.9471965472515315
Nordeste,Acima de 20k,0.0
Sul,Acima de 20k,0.11979858275216738
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.15751586671444676
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.12225609207560342
Sudeste,Até 20k,0.25429229692394756
Centro-Oeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Nordeste,Até 20k,0.020867023441288986
Sudeste,Até 20k,0.0
Sul,Até 20k,0.0
Nordeste,Acima de 20k,0.7333934596502822
Sudeste,Até 20k,0.11137633684537372
Sudeste,Acima de 20k,0.049685865838091176
Sudeste,Acima de 20k,0.5450526679813523
Nordeste,Até 20k,0.0
Sul,Acima de 20k,0.0
Sul,Até 20k,0.1830153875369367
Nordeste,Até 20k,0.0
Sudeste,Acima de 20k,0.0662426405580349
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.8182474760501464
Nordeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.398649395845985
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.6860730086346274
Sul,Acima de 20k,0.27826215824409206
Nordeste,Até 20k,0.6144022129084727
Sudeste,Acima de 20k,0.0
Centro-Oeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sudeste,Acima de 20k,0.03032696949019641
Centro-Oeste,Acima de 20k,0.0
Sudeste,Até 20k,0.03892339856787292
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.711377038287326
Sudeste,Até 20k,0.12846120903591624
Sudeste,Acima de 20k,0.18567716514350852
Sudeste,Acima de 20k,0.1077905257698897
Sudeste,Acima de 20k,0.9665368933370498
Sudeste,Acima de 20k,0.02649667277988611
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0075425928007586815
Sul,Acima de 20k,0.9868481042808664
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.18599138514350916
Sudeste,Acima de 20k,0.05971878874026648
Nordeste,Até 20k,0.0
Sudeste,Até 20k,0.8323551306567892
Nordeste,Acima de 20k,0.059757118382396064
Sul,Até 20k,0.16523269602778443
Nordeste,Acima de 20k,0.3700370775569893
Sudeste,Até 20k,0.0
Sudeste,Até 20k,0.0
Centro-Oeste,Até 20k,0.0
Sudeste,Até 20k,0.07256735174243759
Nordeste,Acima de 20k,0.0
Nordeste,Acima de 20k,0.37928701593024783
Sudeste,Acima de 20k,0.07443480223617263
Sul,Acima de 20k,0.1903935285576105
Sudeste,Até 20k,0.021891044402192736
Sudeste,Acima de 20k,0.1254394388779826
Centro-Oeste,Acima de 20k,0.41949811029951584
Sudeste,Acima de 20k,0.0
Sudeste,Até 20k,0.0
Sul,Acima de 20k,0.0
Sudeste,Acima de 20k,0.0
Nordeste,Até 20k,0.013716642868584846
Nordeste,Acima de 20k,0.3346323088407846
Sul,Acima de 20k,0.04726066200228697
Sul,Acima de 20k,0.000539113474691044
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.006807639162054008
Sul,Acima de 20k,0.0
Sul,Acima de 20k,0.10205780942961641
Sudeste,Acima de 20k,0.021269144186453905
Sudeste,Acima de 20k,0.0
Sudeste,Acima de 20k,0.15313198494762228
Sul,Até 20k,0.0
Sudeste,Até 20k,0.0
Nordeste,Acima de 20k,0.9991550828897988
Sul,Acima de 20k,0.0
Sudeste,Até 20k,0.1631924771662124
Sudeste,Acima de 20k,0.1030132304883514
Nordeste,Acima de 20k,0.17124760486661922
Sudeste,Acima de 20k,0.0
Sul,Até 20k,0.0
Sudeste,Acima de 20k,0.031291758408698835
Sudeste,Acima de 20k,0.9911301452289865
